Compound Name	Enzyme Name	Encoding Gene	KEGG Orthology	Organism	GenBankID	Strain ID/Microorganism	UniProt ID	Protein ID	Continent where study sampling was done (Collections)	Country	Isolation source	Habitat notes
Alpha-hexachlorocyclohexane	Gamma-hexachlorocyclohexane dehydrochlorinase	linA	K15236	Bacteria	AUWY01000119.1	Sphingobium ummariense RL-3	T0IPA6	EQB30645.1	Asia	India	Soil	Hexachlorocylcohexane (HCH) dumpsite
Alpha-hexachlorocyclohexane	Gamma-hexachlorocyclohexane dehydrochlorinase	linA	K15236	Bacteria	ATDO01000104.1	Sphingobium sp. HDIP04	T0HWS3	EQB02014.1	Asia	India	Soil	Hexachlorocyclohexane (HCH)-contaminated dumpsite
Alpha-hexachlorocyclohexane	Gamma-hexachlorocyclohexane dehydrochlorinase	LinA	K15236	Bacteria	ATHO01000179.1	Sphingobium quisquiliarum P25	T0G0C3	EQA97110.1	Asia	India	Soil	Hexachlorocyclohexane-contaminated soil from a lindane-manufacturing site
Alpha-hexachlorocyclohexane	Gamma-hexachlorocyclohexane dehydrochlorinase	LinA	K15236	Bacteria	AB331627.1	Uncultured organism clone: type 20	A8J694	BAF81715.1	Asia	Japan	Soil	Hexachlorocyclohexane-contaminated and uncontaminated agricultural soils
Alpha-hexachlorocyclohexane	Gamma-hexachlorocyclohexane dehydrochlorinase	LinA	K15236	Bacteria	AB331636.1	Uncultured organism clone: type 29	A8J6B6	BAF81724.1	Asia	Japan	Soil	Hexachlorocyclohexane-contaminated and uncontaminated agricultural soils
Alpha-hexachlorocyclohexane	Gamma-hexachlorocyclohexane dehydrochlorinase	LinA	K15236	Bacteria	AB331635.1	Uncultured organism clone: type 28	A8J6A3	BAF81723.1	Asia	Japan	Soil	Hexachlorocyclohexane-contaminated and uncontaminated agricultural soils
Alpha-hexachlorocyclohexane	Gamma-hexachlorocyclohexane dehydrochlorinase	LinA	K15236	Bacteria	AB331634.1	Uncultured organism clone: type 27	A8J6A6	BAF81722.1	Asia	Japan	Soil	Hexachlorocyclohexane-contaminated and uncontaminated agricultural soils
Alpha-hexachlorocyclohexane	Gamma-hexachlorocyclohexane dehydrochlorinase	LinA	K15236	Bacteria	AB331633.1	Uncultured organism clone: type 26	A8J6A4	BAF81721.1	Asia	Japan	Soil	Hexachlorocyclohexane-contaminated and uncontaminated agricultural soils
Alpha-hexachlorocyclohexane	Gamma-hexachlorocyclohexane dehydrochlorinase	LinA	K15236	Bacteria	AB331632.1	Uncultured organism clone: type 25	A8J6A3	BAF81720.1	Asia	Japan	Soil	Hexachlorocyclohexane-contaminated and uncontaminated agricultural soils
Alpha-hexachlorocyclohexane	Gamma-hexachlorocyclohexane dehydrochlorinase	LinA	K15236	Bacteria	AB331631.1	Uncultured organism clone: type 24	A8J6A1	BAF81719.1	Asia	Japan	Soil	Hexachlorocyclohexane-contaminated and uncontaminated agricultural soils
Alpha-hexachlorocyclohexane	Gamma-hexachlorocyclohexane dehydrochlorinase	LinA	K15236	Bacteria	AB331630.1	Uncultured organism clone: type 23	A8J699	BAF81718.1	Asia	Japan	Soil	Hexachlorocyclohexane-contaminated and uncontaminated agricultural soils
Alpha-hexachlorocyclohexane	Gamma-hexachlorocyclohexane dehydrochlorinase	LinA	K15236	Bacteria	AB331629.1	Uncultured organism clone: type 22	A8J681	BAF81717.1	Asia	Japan	Soil	Hexachlorocyclohexane-contaminated and uncontaminated agricultural soils
Alpha-hexachlorocyclohexane	Gamma-hexachlorocyclohexane dehydrochlorinase	LinA	K15236	Bacteria	AB331628.1	Uncultured organism clone: type 21	A8J679	BAF81716	Asia	Japan	Soil	Hexachlorocyclohexane-contaminated and uncontaminated agricultural soils
Alpha-hexachlorocyclohexane	Gamma-hexachlorocyclohexane dehydrochlorinase	LinA	K15236	Bacteria	AB331626.1	Uncultured organism clone: type 19	A8J665	BAF81714.1	Asia	Japan	Soil	Hexachlorocyclohexane-contaminated and uncontaminated agricultural soils
Alpha-hexachlorocyclohexane	Gamma-hexachlorocyclohexane dehydrochlorinase	LinA	K15236	Bacteria	AB331625.1	Uncultured organism clone: type 18	A8J690	BAF81713.1	Asia	Japan	Soil	Hexachlorocyclohexane-contaminated and uncontaminated agricultural soils
Alpha-hexachlorocyclohexane	Gamma-hexachlorocyclohexane dehydrochlorinase	LinA	K15236	Bacteria	AB331624.1	Uncultured organism clone: type 17	A8J689	BAF81712	Asia	Japan	Soil	Hexachlorocyclohexane-contaminated and uncontaminated agricultural soils
